Trinity's Services and Food for the Homeless Inc.,40.726041,-73.980039,Alexander Lawrence,212-228-5254 ext. 10,Pantry,602 East 9th Street,New York,NY,10009,12:30 PM - 01:30 PM,12:30 PM - 01:30 PM,12:30 PM - 01:30 PM,12:30 PM - 01:30 PM,12:30 PM - 01:30 PM,closed,closed
Trinity's Services and Food for the Homeless Inc.,40.726041,-73.980039,Alexander Lawrence,212-228-5254 ext.10,Soup Kitchen,602 East 9th Street,New York,NY,10009,11:00 AM - 12:00 PM,11:00 AM - 12:00 PM,11:00 AM - 12:00 PM,11:00 AM - 12:00 PM,11:00 AM - 12:00 PM,closed,closed
Safe Horizon Streetwork Project,40.809322,-73.948396,Joean Villarin,212-695-2220 x3822 x3849; 646-214-3815,Pantry,2104 Adam Clayton Powell Boulevard,New York,NY,10027,12:00 PM - 05:00 PM,12:00 PM - 05:00 PM,closed,12:00 PM - 05:00 PM,12:00 PM - 05:00 PM,closed,closed
Shorefront Jewish Comm. Council,40.576207,-73.967227,Moshe Weiner,718-743-0575 ext 7506,Pantry,128 Brighton Beach Avenue,Brooklyn,NY,11235,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 02:00 PM,closed,closed
Shorefront Jewish Community Council,40.579156,-73.96225,Rachel Krish,718-743-0575 x7506,Pantry,3014 Brighton 6th Street,Brooklyn,NY,11235,closed,closed,closed,09:30 AM - 03:00 PM,closed,closed,closed
Garden of Prayer,40.84639,-73.898274,Michael Rush / Ethel Williams,201-921-2806; 347-727-3290,Pantry,1874 Washington Avenue,Bronx,NY,10457,closed,closed,closed,closed,11:30 AM - 01:00 PM,closed,closed
Way Out Church Ministries Inc.,40.813949,-73.914742,Jose Gonzalez,718-665-8069,Pantry,518 East 148th Street,Bronx,NY,10455,closed,12:00 PM - 02:00 PM,closed,08:00 AM - 10:00 AM,closed,closed,closed
Soundview Presbyterian Church,40.820834,-73.865236,Greg Canty,917-576-8220,Pantry,760 Soundview Avenue,Bronx,NY,10473,closed,closed,07:00 AM - 09:00 AM,closed,closed,closed,closed
St. Augustine Food Pantry,40.829212,-73.904441,Maria Salermo,718-893-0072,Pantry,1168 Franklin Ave,Bronx,NY,10456,09:30 AM - 01:30 PM,closed,closed,05:00 PM - 07:00 PM,closed,closed,closed
BRC Project Rescue,40.744817,-73.99311,Andrew Apicella,212-533-5656,Soup Kitchen,127 W 25th St,New York,NY,10001,06:30 AM - 08:30 AM,06:30 AM - 08:00 AM,06:30 AM - 08:00 AM,06:30 AM - 08:00 AM,06:30 AM - 08:00 AM,06:30 AM - 08:00 AM,06:30 AM - 08:00 AM
Pentecost Care Community Outreach,40.882268,-73.866748,Elizabeth Arthur-Quaicoe,718-515-5366,Pantry,621 East 216th Street,Bronx,NY,10467,closed,closed,closed,04:00 PM - 06:00 PM,closed,closed,closed
Davidson Community Center,40.853593,-73.908555,Angel Caballero,718-731-6360,Pantry,2038 Davidson Avenue,Bronx,NY,10453,closed,closed,10:00 AM - 12:00 PM,closed,closed,closed,closed
Thessalonia Baptist Church,40.822123,-73.899041,Mary Brown,718-863-2204,Pantry,941 Rev James A Polite Avenue,Bronx,NY,10459,closed,10:30 AM - 11:30 AM,closed,closed,closed,closed,closed
The Salvation Army Bushwick Corps,40.689255,-73.917314,Clifford Douglas,718-455-4102 Ext. 107,Soup Kitchen,1151 Bushwick Avenue,Brooklyn,NY,11221,12:30 PM - 02:00 PM,12:30 PM - 02:00 PM,12:30 PM - 02:00 PM,12:30 PM - 02:00 PM,12:30 PM - 02:00 PM,closed,closed
The Salvation Army Bushwick,40.689255,-73.917314,Clifford Douglas,718-455-4102 Ext. 107,Pantry,1151 Bushwick Avenue,Brooklyn,NY,11221,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,closed,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,closed,closed
Heavenly Vision Christian Center,40.871588,-73.892232,Raquel Sabino,718-220-8124 / 347-449-8804,Pantry,2868 Jerome Avenue,Bronx,NY,10468,closed,09:00 AM - 11:00 AM,closed,closed,closed,closed,closed
Jewish Community Council of Pelham Parkway,40.855335,-73.865849,David Edelstein,718-792-4744,Pantry,2157 Holland Avenue,Bronx,NY,10462,closed,11:00 AM - 04:00 PM,11:00 AM - 04:00 PM,11:00 AM - 04:00 PM,09:00 AM - 05:00 PM,closed,closed
St. Augustine American Catholic Church,40.66826,-73.934101,Reverend Owen Augustin,347-955-4698,Pantry,298 Schenectady Avenue,Brooklyn,NY,11213,closed,closed,closed,closed,01:00 PM - 03:00 PM,closed,closed
New Covenant Community Development Corp.,40.828923,-73.903233,Rachel Macarthy,718-328-6072,Pantry,1175 Boston Road,Bronx,NY,10456,closed,2:00 PM-4:00 PM,closed,10:00 AM - 01:00 PM,closed,closed,closed
Project FIND Woodstock S.C.,40.756189,-73.984959,Nilda Torres,212-575-0693,Senior Service,127 West 43rd Street,New York,NY,10036,closed,08:00 AM - 10:00 AM,closed,closed,closed,closed,closed
Los Redimidos Por La Sangre De Jesus,40.852022,-73.889589,Alexander Torres,347-257-4199,Pantry,609 East 182nd Street,Bronx,NY,10457,closed,closed,01:00 PM - 02:00 PM,closed,closed,closed,closed
Spanish Soundview SDA,40.8149,-73.861228,Josefina Enriquez,646-256-5284,Pantry,1822 Lacombe Avenue,Bronx,NY,10473,closed,closed,08:00 AM - 12:30 PM,closed,closed,closed,closed
United Grand Chapter of Eastern Star,40.693689,-73.95189,Connie Green,347-930-9853; 718-624-2484,Pantry,441 Willoughby Avenue,Brooklyn,NY,11206,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed,closed
Joshua and Caleb Ministries Inc,40.84286,-73.903449,Angela Brown,718-328-5900,Pantry,1688 Webster Avenue,Bronx,NY,10457,closed,closed,closed,closed,closed,11:00 AM - 12:00 PM,closed
Every Day is a Miracle - Harvest Hand Food Pantry,40.842828,-73.846352,Maria Estrada,347-618-1162 ext. 700; 646-671-4360 (Maria cell),Pantry,2626 East Tremont Avenue,Bronx,NY,10561,-,-,-,-,9:00 - 12:00,-,-
Every Day is a Miracle co The Almond Tree Church,40.86129,-73.900259,Maria Estrada,646-671-4360,Pantry,2427 Morris Avenue,Bronx,NY,10468,-,-,-,10:00 - 1:00,-,-,-
Chance for Children,40.665826,-73.958541,Sister Lillian Burley,347-616-3228,Pantry,11 Mckeever Place,Brooklyn,NY,11225,closed,closed,closed,closed,9:00:00 AM - 2:00 PM,closed,closed
Church of the Epiphany,40.768415,-73.952834,Laura Noggle,212-737-2720,Soup Kitchen,1393 York Avenue,New York,NY,10021,-,-,6:00 PM - 7:30 PM,-,-,-,-
Upper Manhattan Mental H.C. Inc.,40.825529,-73.947162,Seth / Vandina St. Hilaire,347-845-7858/ 212-694-9200 ext.519,Pantry,1727 Amsterdam Avenue,New York,NY,10031,09:00AM - 07:00PM,09:00AM - 07:00PM,09:00AM - 07:00PM,09:00AM - 07:00PM,09:00AM - 03:00PM,closed,closed
Jewish Council of Washington Heights,40.85406,-73.934592,Miriam Yoles,212-568-5450,Pantry,121 Bennett Avenue,New York,NY,10033,closed,11:00 AM - 01:00 PM,11:00 AM - 01:00 PM,11:00 AM - 01:00 PM,closed,closed,closed
Greater Central Baptist Church,40.810731,-73.939341,Edyth Doleman,917-572-4867/212-234-3828,Pantry,2152-58 Fifth Avenue,New York,NY,10037,closed,closed,10:30AM - 03:00PM,closed,closed,closed,closed
Church of the Incarnation,40.719149,-73.757065,Deacon Francois Innocent,718-465-8534,Pantry,89-28 207th Street,Queens Village,NY,11427,closed,closed,closed,closed,1:00 PM - 3:00 PM,closed,closed
Lighthouse of Hope Outreach and Resource Center,40.66421,-73.925112,Marva Nicholson,929-307-7991,Pantry,66 East 96th Street,Brooklyn,NY,11212,closed,closed,closed,closed,closed,10:00 AM - 1:00 PM,closed
Faces NY Inc.,40.801922,-73.951284,Shearon Joseph Hoyte,212-663-7772 ext. 234,Pantry,123 West 115th Street,New York,NY,10026,closed,closed,closed,"12:00 PM - 03:00 PM (every 2nd, 3rd and 4th Thursday of the month)",closed,closed,closed
St. Joseph of the Holy Family,40.811784,-73.954214,Catherine Keller,212-662-9125,Pantry,405 W 125th Street,New York,NY,10027,closed,closed,closed,closed,closed,8:30 - 12,closed
Community Impact Food Pantry,40.807014,-73.965838,Ricardo Bustamante,212-854-6310,Pantry,616 West 114th Street,New York,NY,10025,12:00 PM to 02:00 PM,closed,closed,12:00 PM - 02:00 PM,closed,closed,closed
Jewish Community Council of the Rockaway Peninsula,40.605279,-73.751657,Barbara Satt,718-327-7755 Ext. 6113,Pantry,1525 Central Avenue,Far Rockaway,NY,11691,closed,9:30 AM-1:30 PM,closed,9:30 AM-1:30 PM,closed,closed,closed
"God's Deliverance Temple, Inc.",40.674175,-73.922233,Ms. Glenda Bowman,347-234-3828,Pantry,438 Ralph Avenue,Brooklyn,NY,11233,closed,11:00 AM - 12:00 PM,closed,closed,closed,closed,closed
Sanctified Church of God Inc.,40.662348,-73.948093,Rev. Maitre,646-894-8041,Pantry,404 Lefferts Avenue,Brooklyn,NY,11225,closed,closed,closed,closed,closed,12:00 PM - 1:30 PM,closed
Church of God Feeding Hungry,40.672403,-73.961116,Angela,347-415-3345 (cell),Pantry,836 Classon Avenue,Brooklyn,NY,11238,closed,closed,closed,9:30:00 AM - 1:30 PM,closed,closed,closed
Our Lady of Fatima Church,40.762604,-73.888816,Sr. Anne Marie Beirne,516-606-5580,Pantry,25-02 80th Street,East Elmhurst,NY,11370,closed,closed,closed,closed,closed,12:00 PMP - 3:00 PM (1x a month),closed
Mt. Olivet Gospel Church Food Pantry,40.756688,-73.871138,Joan Cox,718-478-0780,Pantry,33-27 97th Street,Corona,NY,11368,closed,closed,05:30 PM - 06:30 PM,closed,closed,closed,closed
Beth Hark Christian Counseling Center,40.802312,-73.943367,Ebony Strachan,646-215-6175,Pantry,1832 Madison Avenue,New York,NY,10035,-,12:00 PM - 03:30 PM,closed,closed,closed,closed,closed
Beth Hark Christian Counseling Center,40.802312,-73.943367,Ebony Strachan,212-860-1520,Soup Kitchen,1832 Madison Avenue,New York,NY,10035,closed,closed,closed,12:00 PM - 2:00 PM,closed,closed,closed
Abrigo Del Altisimo,40.847957,-73.89464,Jackie Vazquez / Maritza,718-669-4826; 646-506-7211,Pantry,2009 Monterey Avenue,Bronx,NY,10457,closed,12:00 PM - 02:00 PM,closed,closed,closed,closed,closed
Spanish SDA Church,40.824728,-73.899308,Carmen Morales,718-823-2349,Pantry,1038 Prospect Avenue,Bronx,NY,10459,closed,closed,closed,09:00 AM - 10:00 AM,closed,closed,closed
Immaculate Conception Church,40.876586,-73.864486,Paula Gillisslee,718-519-1393,Pantry,754 East Gun Hill Road,Bronx,NY,10467,closed,closed,closed,10:30 AM - 12:00 PM (every third Thursday of the Month),closed,closed,closed
Immaculate Conception Church,40.876586,-73.864486,Paula Gillisslee,718-519-1393,Soup Kitchen,754 East Gun Hill Road,Bronx,NY,10467,closed,10:30 AM - 12:00 PM,10:30 AM - 12:00 PM,10:30 AM - 12:00 PM,closed,closed,closed
Ammi Evangelical Baptist Church,40.626281,-73.94049,Rev. L. St. Juste,347-679-3861,Pantry,1799 Flatbush Avenue,Brooklyn,NY,11210,closed,closed,closed,closed,closed,12:30 PM - 02:00 PM,closed
Fraternite Notre Dame,40.797051,-73.934417,Sr. Marie Madeline,212-876-5855,Pantry,2290 1st Avenue,New York,NY,10035,closed,closed,closed,closed,2:00 PM - 5:00 PM,closed,closed
Crossroads Community Services Inc. (Food Pantry),40.757495,-73.973271,David Sanders,,Pantry,108 East 51st Street,New York,NY,10022,closed,closed,closed,10:00 AM - 01:00 PM,closed,closed,closed
Church of the Annunciation,40.816263,-73.952964,Kelvin Morillo,212-234-1919,Pantry,88 Convent Avenue,New York,NY,10027,closed,10:30 AM - 11:30 AM,closed,closed,closed,closed,closed
Our Lady of Light Food Pantry,40.689994,-73.763306,Junie Hopkinson,917-261-1808/ 718-468-3511,Pantry,118-22 Riverton Street,St. Albans,NY,11412,closed,closed,12:00 PM - 02:00 PM,closed,closed,closed,closed
Creston Avenue Baptist Church,40.861836,-73.899158,Lilly / Rosa Morrison,718-367-1754/917-557-0141 / 347-702-3626; 917-504-0870,Soup Kitchen,114 East 188th Street,Bronx,NY,10468,closed,closed,closed,closed,closed,12:00 PM - 2:00 PM,closed
St. Mary Star of the Sea,40.600681,-73.752629,Susan Sing-Smith,347-246-9344,Pantry,1920 New Haven Avenue,Far Rockaway,NY,11691,closed,1:00 PM - 3:00 PM (By appointment only),closed,closed,1:00 PM - 3:00 PM (By appointment only),closed,closed
Our Lady of Sorrows,40.719497,-73.982361,Nivia Mendez,212-673-0900,Pantry,213 Stanton Street,New York,NY,10002,closed,closed,closed,closed,closed,closed,closed
Trinity Human Service Corp.,40.706597,-73.944125,Sr. Victoria Kamungu,718-388-3176,Pantry,153 A Johnson Avenue,Brooklyn,NY,11206,closed,closed,closed,closed,closed,closed,closed
St. Clement Pope RC Church,40.674957,-73.799316,Joanne Rochon,718-322-3077,Pantry,141-11 123rd Avenue,Jamaica,NY,11436,closed,closed,closed,5:00 PM - 6:00 PM,closed,closed,closed
Abraham House Inc.,40.81127,-73.921084,Althea Brooks,718-292-9321 x110,Pantry,342 Willis Avenue,Bronx,NY,10454,closed,closed,closed,closed,closed,06:30 AM - 07:30 AM,closed
"Rauschenbusch Metro Ministries, Inc.",40.757309,-73.994265,Cat Fernando,212-594-4464,Pantry,410 West 40th Street,New York,NY,10018,closed,closed,closed,closed,closed,10:00 AM - 11:30 AM,closed
Siloam Presbyterian Church Food Pantry,40.683471,-73.947305,Alexis /Teresa Snyder,718-789-7050,Pantry,260 Jefferson Avenue,Brooklyn,NY,11216,closed,closed,09:30 AM - 12:30 PM,closed,closed,closed,closed
Stapleton UAME Church,40.623354,-74.078755,Mamie Daniels,718-273-2857,Pantry,49 Tompkins Avenue,Staten Island,NY,10304,closed,10:00 AM - 01:00 PM,closed,closed,10:00 AM - 01:00 PM,closed,closed
Stapleton UAME Church,40.623354,-74.078755,Mamie Daniels,718-273-2857,Soup Kitchen,49 Tompkins Avenue,Staten Island,NY,10304,03:00 PM - 04:00 PM,closed,12:00 PM - 01:00 PM,closed,closed,closed,closed
First Presbyterian Church Of Jamaica,40.705892,-73.796372,Betty Baker,718-526-4775 ext.29,Pantry,89-60 164th Street,Jamaica,NY,11432,closed,10:00 AM - 12:00 PM,closed,closed,closed,closed,closed
First Presbyterian Church Of Jamaica,40.705892,-73.796372,Betty Baker,718-526-4775 Cell 347-624-1602,Soup Kitchen,89-60 164th Street,Jamaica,NY,11432,closed,closed,05:00 PM - 06:30 PM,closed,closed,closed,closed
Bethany United Methodist Church,40.670737,-73.938262,Vera Burnett,718-774-6753,Soup Kitchen,1208 St Johns Place,Brooklyn,NY,11213,closed,12:30 PM - 02:30 PM,closed,closed,closed,closed,closed
Little Sisters of the Assumption,40.795765,-73.936666,Lucia Bravo,646-672-5204,Pantry,333 East 115th Street,New York,NY,10029,closed,09:30 AM - 11:30 AM,09:30 AM - 11:30 AM,closed,closed,closed,closed
"Food First, Inc.",40.678216,-74.013865,Kevin / Mike,917-939-1318,Pantry,165 Conover Street,Brooklyn,NY,11231,closed,closed,11:00 AM - 01:00 PM,closed,10:00 AM - 12:00 PM,closed,closed
Catholic Charities Community Services (Kennedy Center),40.850741,-73.935054,Flor Abad,646-630-2390,Pantry,665 West 182nd Street,New York,NY,10033,closed,closed,closed,10:00 AM - 03:00 PM,closed,closed,closed
J.U.S.T.I.C.E. Organization,40.595116,-73.761018,Cinthia Bryan/Ted Wendimu,718-772-7951/917-566-1961,Pantry,223 Beach 28th Street,Far Rockaway,NY,11691,closed,closed,12:00 PM - 02:00 PM,closed,closed,closed,closed
The Salvation Army Manhattan Citadel,40.804523,-73.937418,Sandra Martir,212-860-3200 x.200/ 917-679-4495,Pantry,175 East 125th Street,New York,NY,10035,9:00 AM - 02:00 PM,9:00 AM - 02:00 PM,9:00 AM - 02:00 PM,9:00 AM - 02:00 PM,9:00 AM - 02:00 PM,closed,closed
The Salvation Army Manhattan Citadel,40.804523,-73.937418,Sandra Martir,917-679-4495,Soup Kitchen,175 East 125th Street,New York,NY,10035,10:00 AM - 01:00 PM,10:00 AM - 01:00 PM,10:00 AM - 01:00 PM,10:00 AM - 01:00 PM,10:00 AM - 01:00 PM,closed,closed
National Council of Jewish Women,40.779392,-73.983075,Rita Shapiro,212-687-5030,Pantry,241 West 72nd Street,New York,NY,10023,10:00 AM - 02:00 PM,closed,closed,closed,closed,closed,closed
National Council of Jewish Women,40.779392,-73.983075,Rita Shapiro,212-687-5030,Soup Kitchen,241 West 72nd Street,New York,NY,10023,closed,closed,04:30 PM - 05:30 PM,closed,closed,closed,11:30 AM - 12:30 PM
CAMBA Food Pantry,40.648674,-73.957286,Lucila Santana,718-282-3082,Pantry,21 Snyder Avenue,Brooklyn,NY,11226,closed,10:00AM - 01:00PM,closed,10:00AM - 01:00PM,closed,closed,closed
Project Lead,40.706978,-73.830913,Naama Asherova,718-495-6210,Pantry,84-17 Abingdon Road,Kew Gardens,NY,11415,closed,closed,closed,closed,closed,closed,08:00 AM - 09:15 AM
Humanity Service Inc,40.683851,-73.847931,Saqlain Malik,718-845-1901,Pantry,92-17 101 Ave,Ozone Park,NY,11416,closed,closed,closed,closed,04:00 PM - 07:00 PM,closed,closed
Blessed Virgin Mary St. Mary's Winfield,40.73847,-73.892792,Lourdes LaPolla,917-751-2162/ 718-672-4848,Pantry,70-31 48th Avenue,Woodside,NY,11377,closed,closed,closed,09:30 AM - 12:00 PM,closed,closed,closed
Mt. Carmel Baptist Church,40.830948,-73.896705,Patrina Brown/ La'Rae Hardy-Shabaka,917-459 2538/ 646-238-9817,Pantry,1376 Prospect Avenue,Bronx,NY,10459,closed,11:00 am - 12:00 pm,11:00 am - 12:30 pm,closed,closed,closed,closed
Father's Heart Ministries,40.727736,-73.979852,Marian Hutchins,212-375-1765,Pantry,543-545 East 11th Street,New York,NY,10009,closed,closed,closed,closed,closed,08:30 AM - 11:30 AM,closed
Father's Heart Ministries,40.727736,-73.979852,Marian Hutchins,212-375-1765,Soup Kitchen,543-545 East 11th Street,New York,NY,10009,closed,closed,closed,closed,closed,08:30 AM - 11:30 AM,closed
Northeastern Conference Adventist Community Svcs,40.757121,-73.869056,Dr. Keicha Gosling,347-527-2444,Pantry,99-13 Northern Boulevard,Corona,NY,11368,closed,11:00 am - 1:00 pm (Seniors only),"4:00 pm - 6:00 pm (regular- Tickets will be distributed at 3:00 pm) First come, first serve",closed,closed,closed,closed
International Pentecostal Church,40.848406,-73.935389,Nancy Suarez,718-216-2063/212-568-3531,Pantry,619 W 179th Street,New York,NY,10033,closed,12:00 PM - 3:30 PM,closed,closed,closed,closed,closed
Christ Apostolic Church Goke Food Pantry,40.638487,-73.972155,Babatunde Adebiyi,516-263-4218,Pantry,622 Cortelyou Road,Brooklyn,NY,11218,closed,10:00 PM - 04:00 PM,closed,closed,closed,9:00 AM - 1:00 PM,closed
Hollis Presbyterian Church,40.708121,-73.762517,Deidre Sabai,718-525-7399,Pantry,100-50 196th Street,Hollis,NY,11423,11:00 AM - 01:00 PM (every other week),closed,closed,closed,closed,closed,closed
"United Yes We Can, Unidos Si Se Puede, Inc.",40.801556,-73.936445,Elva Guevara,646-321-5045,Pantry,221 E 122nd Street,New York,NY,10035,closed,02:00 PM- 06:00 PM,closed,closed,closed,closed,closed
Trinity Wall Street,40.711153,-74.009058,Metha Balasquides,212-602-0726,Pantry,209 Broadway,New York,NY,10007,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM
"Housing and Services, Inc",40.804491,-73.951818,Divina Veras,212-864-5281 ext. 106,Pantry,206-210 West 118th Street,New York,NY,10026,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,09:00 AM - 05:00 PM,closed,closed
Movement of Pentecostal Christian Church,40.682126,-74.003542,Rene Baez,347-776-3054,Pantry,90-92 Summit Street,Brooklyn,NY,11231,closed,closed,closed,closed,closed,closed,10:00 AM - 02:00 PM
Christ Abundant Life Ministries,40.636452,-74.164949,Antoine Jones,718-273-0372,Pantry,121 Grandview Avenue,Staten Island,NY,10303,closed,closed,closed,06:00 PM - 08:00 PM,closed,closed,closed
"Vision Urbana, Inc.",40.71734,-73.988424,Eric Diaz,646-626-9748,Pantry,66 Essex St.,New York,NY,10002,2:00 PM - 3:00 PM,closed,closed,closed,closed,closed,closed
North Brooklyn Angels,40.716113,-73.952914,Felice Kirby,917-407-1444,Mobile Soup Kitchen,1 Havemeyer Street,Brooklyn,NY,11211,12:30 PM - 01:30 PM,12:30 PM - 01:30 PM,12:00 PM - 01:30 PM,12:00 PM - 01:30 PM,12:00 PM - 01:30 PM,closed,closed
St. Cecilia's Parish Services,40.791919,-73.947326,Sandra Ruiz,212-348-0488,Pantry,125 East 105th St.,New York,NY,10029,closed,closed,09:00 AM - 12:00 PM,closed,closed,closed,closed
St. John's Bread of Life,40.748903,-73.993212,Sister Mary Perasa /Vincent Pisani,908-601-4669/ 718-435-0799/646-286-1427,Pantry,213 West 30th Street,New York,NY,10001,closed,closed,11:00 AM - 02:30 PM,closed,closed,closed,closed
St. Mark the Evangelist Church,40.815832,-73.938718,Joella Nipper,212-690-2763,Pantry,65 West 138th Street,New York,NY,10037,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
St. Clement's Food Pantry,40.761472,-73.991641,Seth Sibanda,212-246-7277,Pantry,423 West 46th Street,New York,NY,10036,closed,closed,closed,closed,02:00 PM - 06:00 PM,08:30 AM - 11:30 AM,closed
St. Mary's Episcopal Church,40.814841,-73.956152,Ameya Biradavolu,212-864-4013,Pantry,521 West 126th Street,New York,NY,10027,04:30 PM - 06:00 PM,closed,closed,closed,closed,closed,closed
St. Mary's Episcopal Church,40.814841,-73.956152,Ameya Biradavolu,212-864-4013,Mobile Soup Kitchen,521 West 126th Street,New York,NY,10027,closed,closed,closed,closed,closed,12:00 PM - 02:00 PM,closed
Corpus Christi Food Pantry,40.756577,-73.902461,Fernando Torres,929-272-7678/ 718-278-8114,Pantry,31-31 60th Street,Woodside,NY,11377,closed,closed,11:00 AM - 01:00 PM,closed,closed,closed,closed
Council of Jewish Organizations of Staten Island,40.632318,-74.133457,Scott Maurer,718-720-4047 ext 103,Pantry,984 Post Avenue,Staten Island,NY,10302,closed,09:00 AM - 12:30 PM,closed,09:00 AM - 12:30 PM,closed,closed,closed
Christian Pentecostal Church,40.604574,-74.092306,Reverend John Rocco Carlo,347-613-0390 /718-273-5850,Pantry,910 Richmond Road,Staten Island,NY,10304,closed,05:00 PM - 07:00 PM,05:00 PM - 07:30 PM,closed,closed,closed,closed
St. Theresa of Avila Community Service,40.683921,-73.813315,Lola Williams / Douglas,917-600-3980/ 917-309-2595,Pantry,109-26 130th Street,South Ozone Park,NY,11420,9:00 am-11:00 am,closed,closed,9:00 am-11:00 am,closed,closed,closed
Brownsville SDA Temple,40.659865,-73.9223,Carmine Straker,347-661-1068/ 718-345-3689,Pantry,1085 Clarkson Avenue,Brooklyn,NY,11212,closed,closed,01:30 PM - 05:30 PM,closed,closed,closed,closed
Hope Line,40.82085,-73.898533,Maria Cintron,718-402-1212 ext. 102,Pantry,884 E 163rd St,Bronx,NY,10459,closed,closed,11:00 AM - 01:00 PM,09:30 AM - 11:00 AM,09:30 AM - 12:30 PM,closed,closed
Macedonia Church of Christ,40.687261,-73.949028,Mary Clarke,646-404-3704,Pantry,289 Quincy Street,Brooklyn,NY,11216,closed,12:00 PM - 02:00 PM,closed,closed,closed,closed,closed
First Church of God in Christ,40.690305,-73.76301,Rev. Armstead,347-569-1458/ 718-925-5198/718-712-4831,Pantry,187-10 Baisley Blvd,St. Albans,NY,11412,closed,closed,closed,12:00 PM - 03:00 PM,closed,closed,closed
Community Impact Soup Kitchen,40.807014,-73.965838,Ricardo Bustamante,212-854-6310,Soup Kitchen,616 West 114th Street,New York,NY,10025,closed,closed,closed,closed,12:30 PM - 02:00 PM,closed,closed
Hollis Avenue Congregational Church,40.708878,-73.746344,James Thomas/ Douglas Falconer,516-528-2422/917-822-1972,Pantry,211-04 Hollis Avenue,Queens Village,NY,11429,closed,9:00 AM - 12:00 PM,closed,closed,closed,closed,closed
Convent Avenue Baptist Church,40.823852,-73.946117,Arthurean Evans,646-698-5102,Pantry,425 West 144th Street,New York,NY,10031,09:00 AM - 12:00 PM,closed,closed,09:00 AM - 12:00 PM,closed,closed,closed
The Salvation Army Jamaica Citadel,40.704826,-73.798915,Dorothy / Major Rena,917-498-8675 (cell),Pantry,90-23 161st Street,Jamaica,NY,11432,closed,closed,closed,10:00 AM - 03:00 PM,closed,closed,closed
Hanson Place SDA Community Service,40.684996,-73.974341,Cheryl Murray,347-602-1832,Pantry,150 South Portland Avenue,Brooklyn,NY,11217,closed,closed,closed,01:30 PM - 05:00 PM,closed,closed,closed
Union Baptist Church,40.682574,-73.924689,Olivia High/Tania Wilson,718-455-0204 /240-274-8261,Pantry,461 Decatur Street,Brooklyn,NY,11233,closed,closed,ric,closed,closed,closed,closed
Give Them To Eat,40.817622,-73.904362,Morelba Fernandez,646-323-9668,Pantry,800 East 156th Street,Bronx,NY,10455,closed,closed,closed,closed,12:00 PM - 03:00 PM,closed,closed
Unity Faith Outreach,40.683955,-73.922777,Naomi Collins,718-443-4194,Pantry,179 Ralph Avenue,Brooklyn,NY,11233,closed,Closed,closed,closed,10:00 AM - 2:00 PM,closed,closed
New Direction Services Inc.,40.633227,-74.134604,Wendy Deshong*,718 880 8773,Pantry,1027 Post Avenue,Staten Island,NY,10302,closed,closed,closed,10:00 AM - 01:00 PM,10:00 AM - 01:00 PM,08:00 AM - 04:00 PM,closed
New Life SDA Church,40.658684,-73.910637,Colleen St. Clair,718-385-0463,Pantry,885-887 Thomas S Boyland Street,Brooklyn,NY,11212,05:00 PM - 07:00 PM,06:00 PM - 08:00 PM,closed,closed,closed,closed,08:00 AM - 10:00 AM
Shout For Joy Baptist Church,40.824085,-73.912958,Pastor Gloria Green,347-400-0409,Pantry,421 E 161st St,Bronx,NY,10451,closed,closed,closed,closed,closed,09:00 AM - 11:00 AM (2nd & 4th Saturday of the month),closed
Church of God in Christ,40.651659,-73.918429,Judith Brutus,516-304-8969,Pantry,627-29 Remsen Avenue,Brooklyn,NY,11236,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
New Pilgrim Community Baptist Church,40.810966,-73.944909,Pastor Edward Oliver,646-359-5283,Pantry,131 West 129 Street,New York,NY,10027,closed,closed,closed,closed,closed,10:00 AM - 01:00 PM,closed
South Brooklyn SDA Church Community Service,40.679689,-73.976554,Dennis Paul / Delia Roman,917-519-1543,Pantry,42 Prospect Place,Brooklyn,NY,11217,closed,closed,closed,closed,closed,closed,11:00 AM - 02:00 PM
True Holy Church of God in Christ Jesus,40.675937,-73.906747,Vivian Grubb,646-773-2192,Pantry,2364 Atlantic Avenue,Brooklyn,NY,11233,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
Apostolic Assembly of Jesus Christ,40.651065,-73.941581,Reverend Jean Subtyl,718-669-0739,Pantry,3808 Church Avenue,Brooklyn,NY,11203,closed,closed,closed,closed,closed,01:00 PM - 03:00 PM,closed
Flatbush SDA Church,40.648049,-73.959354,Kenrick Davis,347-279-8181,Pantry,261 East 21st Street,Brooklyn,NY,11226,11:00 AM - 01:00 PM,closed,closed,closed,closed,closed,closed
